LeetCode No,Problem Title,Level,Tags,Acceptance,URL
417, Pacific Atlantic Water Flow,Medium,ArrayDepth-First Search2+,49.8,https://leetcode.com/problems/pacific-atlantic-water-flow
433, Minimum Genetic Mutation,Medium,Hash TableStringBreadth-First Search,47.1,https://leetcode.com/problems/minimum-genetic-mutation
435, Non-overlapping Intervals,Medium,ArrayDynamic ProgrammingGreedy1+,48.6,https://leetcode.com/problems/non-overlapping-intervals
436, Find Right Interval,Medium,ArrayBinary SearchSorting,49.8,https://leetcode.com/problems/find-right-interval
437, Path Sum III,Medium,TreeDepth-First SearchBinary Tree,50.1,https://leetcode.com/problems/path-sum-iii
442, Find All Duplicates in an Array,Medium,ArrayHash Table,72.6,https://leetcode.com/problems/find-all-duplicates-in-an-array
443, String Compression,Medium,Two PointersString,47.7,https://leetcode.com/problems/string-compression
445, Add Two Numbers II,Medium,Linked ListMathStack,58.8,https://leetcode.com/problems/add-two-numbers-ii
474, Ones and Zeroes,Medium,ArrayStringDynamic Programming,46.5,https://leetcode.com/problems/ones-and-zeroes
494, Target Sum,Medium,ArrayDynamic ProgrammingBacktracking,45.4,https://leetcode.com/problems/target-sum
503, Next Greater Element II,Medium,ArrayStackMonotonic Stack,62.3,https://leetcode.com/problems/next-greater-element-ii
515, Find Largest Value in Each Tree Row,Medium,TreeDepth-First Search2+,64.5,https://leetcode.com/problems/find-largest-value-in-each-tree-row
516, Longest Palindromic Subsequence,Medium,StringDynamic Programming,59.6,https://leetcode.com/problems/longest-palindromic-subsequence
539, Minimum Time Difference,Medium,ArrayMathString1+,55.5,https://leetcode.com/problems/minimum-time-difference
540, Single Element in a Sorted Array,Medium,ArrayBinary Search,58.6,https://leetcode.com/problems/single-element-in-a-sorted-array
542, 01 Matrix,Medium,ArrayDynamic Programming2+,43.9,https://leetcode.com/problems/01-matrix
547, Number of Provinces,Medium,Depth-First SearchBreadth-First Search2+,62.7,https://leetcode.com/problems/number-of-provinces
560, Subarray Sum Equals K,Medium,ArrayHash TablePrefix Sum,44.2,https://leetcode.com/problems/subarray-sum-equals-k
567, Permutation in String,Medium,Hash TableTwo PointersString1+,44.5,https://leetcode.com/problems/permutation-in-string
646, Maximum Length of Pair Chain,Medium,ArrayDynamic ProgrammingGreedy1+,55.9,https://leetcode.com/problems/maximum-length-of-pair-chain
647, Palindromic Substrings,Medium,StringDynamic Programming,65.7,https://leetcode.com/problems/palindromic-substrings
650, 2 Keys Keyboard,Medium,MathDynamic Programming,52.5,https://leetcode.com/problems/2-keys-keyboard
654, Maximum Binary Tree,Medium,ArrayDivide and ConquerStack3+,83.8,https://leetcode.com/problems/maximum-binary-tree
655, Print Binary Tree,Medium,TreeDepth-First Search2+,60.3,https://leetcode.com/problems/print-binary-tree
658, Find K Closest Elements,Medium,ArrayTwo PointersBinary Search2+,44.6,https://leetcode.com/problems/find-k-closest-elements
662, Maximum Width of Binary Tree,Medium,TreeDepth-First Search2+,40.3,https://leetcode.com/problems/maximum-width-of-binary-tree
687, Longest Univalue Path,Medium,TreeDepth-First SearchBinary Tree,39.5,https://leetcode.com/problems/longest-univalue-path
695, Max Area of Island,Medium,ArrayDepth-First Search3+,70.0,https://leetcode.com/problems/max-area-of-island
701, Insert into a Binary Search Tree,Medium,TreeBinary Search TreeBinary Tree,74.9,https://leetcode.com/problems/insert-into-a-binary-search-tree
702, Search in a Sorted Array of Unknown Size,Medium,ArrayBinary SearchInteractive,71.0,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size
707, Design Linked List,Medium,Linked ListDesign,27.1,https://leetcode.com/problems/design-linked-list
713, Subarray Product Less Than K,Medium,ArraySliding Window,44.1,https://leetcode.com/problems/subarray-product-less-than-k
725, Split Linked List in Parts,Medium,Linked List,56.9,https://leetcode.com/problems/split-linked-list-in-parts
739, Daily Temperatures,Medium,ArrayStackMonotonic Stack,67.3,https://leetcode.com/problems/daily-temperatures
740, Delete and Earn,Medium,ArrayHash TableDynamic Programming,57.4,https://leetcode.com/problems/delete-and-earn
769, Max Chunks To Make Sorted,Medium,ArrayStackGreedy2+,57.7,https://leetcode.com/problems/max-chunks-to-make-sorted
784, Letter Case Permutation,Medium,StringBacktrackingBit Manipulation,72.7,https://leetcode.com/problems/letter-case-permutation
785, Is Graph Bipartite?,Medium,Depth-First SearchBreadth-First Search2+,51.8,https://leetcode.com/problems/is-graph-bipartite
788, Rotated Digits,Medium,MathDynamic Programming,57.1,https://leetcode.com/problems/rotated-digits
790, Domino and Tromino Tiling,Medium,Dynamic Programming,48.0,https://leetcode.com/problems/domino-and-tromino-tiling
797, All Paths From Source to Target,Medium,BacktrackingDepth-First Search2+,81.0,https://leetcode.com/problems/all-paths-from-source-to-target
802, Find Eventual Safe States,Medium,Depth-First SearchBreadth-First Search2+,53.0,https://leetcode.com/problems/find-eventual-safe-states
814, Binary Tree Pruning,Medium,TreeDepth-First SearchBinary Tree,70.9,https://leetcode.com/problems/binary-tree-pruning
841, Keys and Rooms,Medium,Depth-First SearchBreadth-First SearchGraph,69.3,https://leetcode.com/problems/keys-and-rooms
849, Maximize Distance to Closest Person,Medium,Array,47.5,https://leetcode.com/problems/maximize-distance-to-closest-person
852, Peak Index in a Mountain Array,Medium,ArrayBinary Search,70.0,https://leetcode.com/problems/peak-index-in-a-mountain-array
861, Score After Flipping Matrix,Medium,ArrayGreedyBit Manipulation1+,74.8,https://leetcode.com/problems/score-after-flipping-matrix
863, All Nodes Distance K in Binary Tree,Medium,TreeDepth-First Search2+,61.3,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
874, Walking Robot Simulation,Medium,ArraySimulation,37.9,https://leetcode.com/problems/walking-robot-simulation
881, Boats to Save People,Medium,ArrayTwo PointersGreedy1+,52.5,https://leetcode.com/problems/boats-to-save-people
890, Find and Replace Pattern,Medium,ArrayHash TableString,75.6,https://leetcode.com/problems/find-and-replace-pattern
904, Fruit Into Baskets,Medium,ArrayHash TableSliding Window,42.7,https://leetcode.com/problems/fruit-into-baskets
931, Minimum Falling Path Sum,Medium,ArrayDynamic ProgrammingMatrix,67.6,https://leetcode.com/problems/minimum-falling-path-sum
934, Shortest Bridge,Medium,ArrayDepth-First Search2+,53.0,https://leetcode.com/problems/shortest-bridge
973, K Closest Points to Origin,Medium,ArrayMathDivide and Conquer4+,65.9,https://leetcode.com/problems/k-closest-points-to-origin
979, Distribute Coins in Binary Tree,Medium,TreeDepth-First SearchBinary Tree,71.7,https://leetcode.com/problems/distribute-coins-in-binary-tree
981, Time Based Key-Value Store,Medium,Hash TableStringBinary Search1+,52.6,https://leetcode.com/problems/time-based-key-value-store
983, Minimum Cost For Tickets,Medium,ArrayDynamic Programming,64.2,https://leetcode.com/problems/minimum-cost-for-tickets
984, String Without AAA or BBB,Medium,StringGreedy,42.5,https://leetcode.com/problems/string-without-aaa-or-bbb
